Date,Actual Revenue,Fitted Revenue
2022-01-31,205234754.1439,178343879.0850424
2022-02-28,176460337.331,179326574.2986802
2022-03-31,182725460.1701,180309269.512318
2022-04-30,191577798.1507,181294304.4764644
2022-05-31,168910226.9964,182276999.6901022
2022-06-30,183185247.9817,183259694.9037399
2022-07-31,207515715.5746,184242390.1173777
2022-08-31,206612556.8081,185225085.3310155
2022-09-30,185598168.8229,186207780.5446532
2022-10-31,170176493.6753,187192815.5087997
2022-11-30,186695181.4693,188175510.7224375
2022-12-31,183932896.8205,189158205.9360752
